JT,Escape,EscapeTime,Ejection,JT_Clone,Clone
457762,in,398900000.3056434,398900000.3056434,457762_Clone_5,clone-5
460790,in,1599000000.2846403,1599000000.2846403,460790_Clone_5,clone-5
457221,in,1115900000.2759297,1115900000.2759297,457221_Clone_5,clone-5
459849,in,1039200000.1778044,1039200000.1778044,459849_Clone_5,clone-5
461833,in,680700000.3903612,680700000.3903612,461833_Clone_5,clone-5
458749,out,2723600000.1644697,2724400000.031975,458749_Clone_5,clone-5
433290,out,776100000.1097933,776400000.0106825,433290_Clone_5,clone-5
433681,out,3531800000.0555367,3531900000.2860994,433681_Clone_5,clone-5
437291,in,278000000.3118118,278000000.3118118,437291_Clone_5,clone-5
433293,out,1281600000.3626466,1281700000.1978095,433293_Clone_5,clone-5
435229,out,1686000000.011369,1687000000.3400006,435229_Clone_5,clone-5
432377,out,3302700000.0897913,3302800000.3203545,432377_Clone_5,clone-5
432392,out,611100000.0554184,611300000.1211448,432392_Clone_5,clone-5
433276,in,3262500000.3224106,3262500000.3224106,433276_Clone_5,clone-5
433279,out,3765000000.3801694,3765400000.116223,433279_Clone_5,clone-5
436755,in,2142700000.0430121,2142700000.0430121,436755_Clone_5,clone-5
436101,out,2425800000.35725,2425800000.35725,436101_Clone_5,clone-5
433278,in,692100000.1827588,692100000.1827588,433278_Clone_5,clone-5
452967,in,1144100000.053734,1144100000.053734,452967_Clone_5,clone-5
433277,out,4474400000.014069,4475200000.3244295,433277_Clone_5,clone-5
437305,in,735800000.1118492,735800000.1118492,437305_Clone_5,clone-5
439003,in,598000000.2974478,598000000.2974478,439003_Clone_5,clone-5
436143,in,1392200000.332475,1392300000.167638,436143_Clone_5,clone-5
437294,out,2835700000.034145,2835700000.034145,437294_Clone_5,clone-5
436113,in,3863800000.0307493,3863800000.0307493,436113_Clone_5,clone-5
433671,in,4208500000.0278788,4208500000.0278788,433671_Clone_5,clone-5
439395,in,3608900000.2851133,3608900000.2851133,439395_Clone_5,clone-5
442763,out,1131800000.1632686,1131900000.3938315,442763_Clone_5,clone-5
436072,in,1973600000.0251489,1973600000.0251489,436072_Clone_5,clone-5
448059,out,2369000000.274789,2369100000.109952,448059_Clone_5,clone-5
438747,out,1546000000.2647786,1546100000.0999415,438747_Clone_5,clone-5
